Date,Q_variance_VIX,RV,Cluster,VRP
2018-08-10,0.792613888340531,0.356286614098475,1,0.436327274242056
2018-11-19,0.411786696111835,0.104053482185142,1,0.307733213926693
2019-01-28,0.49059481905003,0.156196220851107,1,0.334398598198923
2019-02-04,0.421243186711619,0.14598702837782,1,0.275256158333799
2019-02-08,0.410336119334736,0.083369323885148,1,0.326966795449588
2019-04-02,0.256474940234403,0.0566312671146019,1,0.199843673119801
2019-05-09,0.423712360755927,0.159837639278742,1,0.263874721477184
2019-09-20,0.543887914051489,0.160973986934978,1,0.38291392711651
2019-09-22,0.523972829439182,0.144269238110522,1,0.37970359132866
2019-09-23,0.527684598684329,0.14925095809973,1,0.3784336405846
2019-10-09,0.674414059358824,0.345199912400306,1,0.329214146958518
2019-10-14,0.612707816255058,0.385301545063491,1,0.227406271191567
2019-10-18,0.560006602976412,0.395963844384335,1,0.164042758592077
2019-10-19,0.532459818904896,0.395751737794479,1,0.136708081110417
2019-10-20,0.520544393232249,0.39392430547175,1,0.126620087760499
2019-10-21,0.512405115792385,0.393544394438873,1,0.118860721353511
2019-10-22,0.506671877219708,0.391686735500669,1,0.114985141719039
2019-11-15,0.421918547284178,0.599516228206539,1,-0.17759768092236
2019-11-16,0.419345146683452,0.599376886498438,1,-0.180031739814985
2019-11-17,0.41708028367806,0.605015889197043,1,-0.187935605518983
2019-11-18,0.421026638556809,0.589979997529401,1,-0.168953358972592
2019-11-19,0.425316154817341,0.590049894728315,1,-0.164733739910974
2019-11-24,0.4993993942443,0.229121837251236,1,0.270277556993064
2019-11-29,0.551656878510322,0.273810157830022,1,0.2778467206803
2019-12-01,0.540569216576119,0.298758777374797,1,0.241810439201322
2019-12-04,0.517096453162018,0.305712015365826,1,0.211384437796192
2019-12-16,0.422489110026181,0.274624593373188,1,0.147864516652993
2019-12-17,0.432957665457681,0.254223729921114,1,0.178733935536567
2019-12-22,0.413141609143406,0.346688075854854,1,0.0664535332885521
2019-12-24,0.400925222843026,0.321964895355225,1,0.0789603274878004
2019-12-27,0.385717715527879,0.2983077658502,1,0.0874099496776797
2019-12-28,0.378795567854175,0.273317632377927,1,0.105477935476247
2020-01-14,0.405021109545528,0.391079819270977,1,0.0139412902745508
2020-01-15,0.418576706077831,0.370793648357806,1,0.0477830577200246
2020-01-17,0.422974789442353,0.342040644008082,1,0.0809341454342711
2020-01-19,0.422852971154508,0.348074112371568,1,0.0747788587829403
2020-01-20,0.418625542565748,0.31339626615095,1,0.105229276414798
2020-01-21,0.409401273712245,0.311812318732697,1,0.0975889549795481
2020-01-23,0.386760562017799,0.312356549856286,1,0.0744040121615127
2020-01-24,0.37704015500788,0.313073466732792,1,0.0639666882750885
2020-01-26,0.367248828712984,0.325560220946965,1,0.041688607766019
2020-01-28,0.375488789493405,0.331651571560617,1,0.0438372179327876
2020-01-29,0.379344647862962,0.347678455547424,1,0.0316661923155384
2020-01-30,0.380950796257816,0.38651565069607,1,-0.00556485443825455
2020-01-31,0.381154178604165,0.373736671185056,1,0.00741750741910879
2020-02-03,0.371282670226197,0.347077459066895,1,0.0242052111593026
2020-02-05,0.375086053873116,0.276802197603245,1,0.0982838562698711
2020-02-12,0.402771849316792,0.178340589209947,1,0.224431260106844
2020-02-13,0.40753264647629,0.201811714254982,1,0.205720932221308
2020-02-14,0.409127010539257,0.20111922998002,1,0.208007780559238
2020-02-15,0.415088686628576,0.197177899481573,1,0.217910787147003
2020-02-16,0.423823901134292,0.199183179191123,1,0.224640721943169
2020-02-17,0.421421318746822,0.220060086546101,1,0.201361232200721
